T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
26.7,26.4,100,100,100,100,100,100,'2021/8/31 8:12:05
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:12:10
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:15
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:12:20
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:25
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:12:30
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:12:35
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:40
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:45
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:50
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:12:55
26.8,26.4,100,100,100,100,100,100,'2021/8/31 8:13:00
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:05
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:10
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:15
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:30
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:30
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:30
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:35
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:40
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:45
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:50
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:13:55
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:00
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:05
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:10
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:15
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:20
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:25
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:30
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:35
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:40
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:45
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:50
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:14:55
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:00
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:05
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:10
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:15:15
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:20
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:25
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:15:30
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:35
26.8,26.3,100,100,100,100,100,100,'2021/8/31 8:15:40
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:15:45
26.7,26.3,100,100,100,100,100,100,'2021/8/31 8:15:50
