"图解标题：20939319"
"#","日期 时间, GMT+08:00","温度, °C (LGR S/N: 20939319, SEN S/N: 20939319)","RH, % (LGR S/N: 20939319, SEN S/N: 20939319)","已连接主机 (LGR S/N: 20939319)","文件结尾 (LGR S/N: 20939319)"
1,08/30/21 下午06时37分57秒,27.634,54.215,,
2,08/30/21 下午06时38分57秒,28.103,57.998,,
3,08/30/21 下午06时39分57秒,28.972,59.635,,
4,08/30/21 下午06时40分57秒,29.696,61.253,,
5,08/30/21 下午06时41分57秒,29.571,52.720,,
6,08/30/21 下午06时42分57秒,29.271,53.039,,
7,08/30/21 下午06时43分57秒,28.972,53.637,,
8,08/30/21 下午06时44分57秒,28.698,54.258,,
9,08/30/21 下午06时45分57秒,28.475,54.630,,
10,08/30/21 下午06时46分57秒,28.276,55.249,,
11,08/30/21 下午06时47分57秒,28.128,55.791,,
12,08/30/21 下午06时48分57秒,27.980,56.335,,
13,08/30/21 下午06时49分57秒,27.831,55.920,,
14,08/30/21 下午06时50分57秒,27.683,55.000,,
15,08/30/21 下午06时51分57秒,27.560,54.361,,
16,08/30/21 下午06时52分57秒,27.437,53.850,,
17,08/30/21 下午06时53分57秒,27.339,53.751,,
18,08/30/21 下午06时54分57秒,27.240,53.949,,
19,08/30/21 下午06时55分57秒,27.167,54.143,,
20,08/30/21 下午06时56分57秒,27.093,54.594,,
21,08/30/21 下午06时57分57秒,27.044,54.607,,
22,08/30/21 下午06时58分57秒,26.995,55.091,,
23,08/30/21 下午06时59分57秒,26.946,55.385,,
24,08/30/21 下午07时00分57秒,26.897,55.533,,
25,08/30/21 下午07时01分57秒,26.872,55.649,,
26,08/30/21 下午07时02分57秒,26.823,55.620,,
27,08/30/21 下午07时03分57秒,26.799,55.778,,
28,08/30/21 下午07时04分57秒,26.750,55.846,,
29,08/30/21 下午07时05分57秒,26.725,55.754,,
30,08/30/21 下午07时06分57秒,26.701,55.691,,
31,08/30/21 下午07时07分57秒,26.652,55.731,,
32,08/30/21 下午07时08分57秒,26.652,55.676,,
33,08/30/21 下午07时09分57秒,26.628,55.710,,
34,08/30/21 下午07时10分57秒,26.579,55.902,,
35,08/30/21 下午07时11分57秒,26.579,55.957,,
36,08/30/21 下午07时12分57秒,26.530,56.053,,
37,08/30/21 下午07时13分57秒,26.530,56.180,,
38,08/30/21 下午07时14分57秒,26.505,56.314,,
39,08/30/21 下午07时15分57秒,26.481,56.507,,
40,08/30/21 下午07时16分57秒,26.481,56.378,,
41,08/30/21 下午07时17分57秒,26.456,56.326,,
42,08/30/21 下午07时18分57秒,26.456,56.441,,
43,08/30/21 下午07时19分57秒,26.456,56.499,,
