T1,T2,Goff-Gratch,HylandWexler,Tetens,Magnus,JiLiFormual,Buck,time
26,26.2,100,100,100,100,100,100,'2021/9/1 8:55:40
25.9,26.2,100,100,100,100,100,100,'2021/9/1 8:55:45
25.9,26.2,100,100,100,100,100,100,'2021/9/1 8:55:50
26,26.2,100,100,100,100,100,100,'2021/9/1 8:55:55
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:00
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:05
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:10
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:15
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:20
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:25
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:30
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:35
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:40
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:45
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:50
26,26.2,100,100,100,100,100,100,'2021/9/1 8:56:55
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:00
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:05
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:10
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:15
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:20
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:25
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:30
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:35
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:40
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:45
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:50
26,26.2,100,100,100,100,100,100,'2021/9/1 8:57:55
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:00
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:05
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:10
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:15
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:20
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:25
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:30
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:35
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:40
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:45
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:58:50
26,26.2,100,100,100,100,100,100,'2021/9/1 8:58:55
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:00
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:05
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:10
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:15
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:20
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:25
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:30
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:35
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:40
26,26.2,100,100,100,100,100,100,'2021/9/1 8:59:45
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:50
26.1,26.2,100,100,100,100,100,100,'2021/9/1 8:59:55
26,26.2,100,100,100,100,100,100,'2021/9/1 9:00:00
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:05
26.1,26.2,100,100,100,100,100,100,'2021/9/1 9:00:10
