T1,T2,RH,time
20.06,17.62,78.7,'2021/12/9 9:15:43
20.09,17.62,78.42,'2021/12/9 9:15:44
20.12,17.62,78.93,'2021/12/9 9:15:45
20.09,17.62,78.92,'2021/12/9 9:15:46
20.09,17.62,78.16,'2021/12/9 9:15:47
20.09,17.62,78.55,'2021/12/9 9:15:48
20.09,17.62,78.7,'2021/12/9 9:15:49
20.12,17.59,78.25,'2021/12/9 9:15:50
20.09,17.61,78.7,'2021/12/9 9:15:51
20.06,17.59,78.96,'2021/12/9 9:15:54
20.09,17.62,78.96,'2021/12/9 9:15:55
20.03,17.58,78.3,'2021/12/9 9:15:55
20.09,17.59,78.96,'2021/12/9 9:15:55
20.06,17.59,78.68,'2021/12/9 9:15:56
20.08,17.58,78.28,'2021/12/9 9:15:57
20.06,17.59,78.85,'2021/12/9 9:15:58
20.06,17.59,78.68,'2021/12/9 9:15:59
20.06,17.59,78.68,'2021/12/9 9:16:00
20.06,17.59,78.68,'2021/12/9 9:16:01
20.06,17.59,78.68,'2021/12/9 9:16:02
20.06,17.59,78.41,'2021/12/9 9:16:03
20.06,17.56,78.9,'2021/12/9 9:16:05
20.02,17.56,78.41,'2021/12/9 9:16:06
20.02,17.56,78.67,'2021/12/9 9:16:07
20.06,17.56,78.67,'2021/12/9 9:16:08
20.02,17.56,78.67,'2021/12/9 9:16:09
20.02,17.59,78.95,'2021/12/9 9:16:10
20.02,17.59,78.95,'2021/12/9 9:16:11
20.02,17.56,78.49,'2021/12/9 9:16:12
20.02,17.56,78.67,'2021/12/9 9:16:13
20.02,17.56,78.39,'2021/12/9 9:16:14
20.02,17.57,78.86,'2021/12/9 9:16:15
19.99,17.59,78.95,'2021/12/9 9:16:16
19.99,17.56,78.67,'2021/12/9 9:16:17
20.02,17.56,78.76,'2021/12/9 9:16:18
20.02,17.56,78.95,'2021/12/9 9:16:19
20.02,17.56,78.3,'2021/12/9 9:16:20
19.99,17.52,78.67,'2021/12/9 9:16:21
20.02,17.56,78.76,'2021/12/9 9:16:22
20.02,17.56,78.95,'2021/12/9 9:16:23
20.02,17.52,78.88,'2021/12/9 9:16:24
20.02,17.59,78.69,'2021/12/9 9:16:25
20.01,17.59,78.67,'2021/12/9 9:16:28
19.99,17.56,78.95,'2021/12/9 9:16:28
20.02,17.59,78.88,'2021/12/9 9:16:28
20.02,17.59,78.39,'2021/12/9 9:16:29
20.06,17.56,78.13,'2021/12/9 9:16:30
20.02,17.59,78.67,'2021/12/9 9:16:31
20.02,17.56,78.67,'2021/12/9 9:16:32
20.02,17.56,78.5,'2021/12/9 9:16:33
20.02,17.56,78.67,'2021/12/9 9:16:34
20.02,17.59,78.67,'2021/12/9 9:16:35
19.99,17.59,78.67,'2021/12/9 9:16:36
20.06,17.56,78.67,'2021/12/9 9:16:37
20.06,17.56,78.13,'2021/12/9 9:16:38
20.04,17.56,78.93,'2021/12/9 9:16:39
20.06,17.59,78.68,'2021/12/9 9:16:40
20.06,17.56,78.56,'2021/12/9 9:16:41
20.02,17.59,78.68,'2021/12/9 9:16:42
20.06,17.58,78.82,'2021/12/9 9:16:43
20.02,17.57,78.68,'2021/12/9 9:16:44
20.02,17.59,78.67,'2021/12/9 9:16:45
20.02,17.59,78.67,'2021/12/9 9:16:46
20.02,17.56,78.67,'2021/12/9 9:16:47
20.02,17.56,78.78,'2021/12/9 9:16:48
20.02,17.59,79.23,'2021/12/9 9:16:49
20.02,17.56,78.81,'2021/12/9 9:16:50
20.02,17.59,78.64,'2021/12/9 9:16:51
20.02,17.59,79.01,'2021/12/9 9:16:52
20.06,17.59,78.95,'2021/12/9 9:16:53
20.02,17.62,79.05,'2021/12/9 9:16:54
20.02,17.62,78.42,'2021/12/9 9:16:55
